date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:39:18	44690/44690	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Jan%202021%2013:53:03%20GMT	https://html.modernwebtemplates.com/dotcreative/blog-1.html	C:/Users/Yoga/Desktop/Sample%20site%20Gonext/html.modernwebtemplates.com/dotcreative/blog-1.html	(from https://html.modernwebtemplates.com/dotcreative/)
18:39:19	36032/36032	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Jan%202021%2013:53:06%20GMT	https://html.modernwebtemplates.com/dotcreative/blog-2.html	C:/Users/Yoga/Desktop/Sample%20site%20Gonext/html.modernwebtemplates.com/dotcreative/blog-2.html	(from https://html.modernwebtemplates.com/dotcreative/)
18:39:20	45351/45351	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Jan%202021%2013:53:06%20GMT	https://html.modernwebtemplates.com/dotcreative/blog-3.html	C:/Users/Yoga/Desktop/Sample%20site%20Gonext/html.modernwebtemplates.com/dotcreative/blog-3.html	(from https://html.modernwebtemplates.com/dotcreative/)
18:39:20	46186/46186	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Jan%202021%2013:53:06%20GMT	https://html.modernwebtemplates.com/dotcreative/blog-4.html	C:/Users/Yoga/Desktop/Sample%20site%20Gonext/html.modernwebtemplates.com/dotcreative/blog-4.html	(from https://html.modernwebtemplates.com/dotcreative/)
18:39:21	37904/37904	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Jan%202021%2013:53:06%20GMT	https://html.modernwebtemplates.com/dotcreative/blog-list.html	C:/Users/Yoga/Desktop/Sample%20site%20Gonext/html.modernwebtemplates.com/dotcreative/blog-list.html	(from https://html.modernwebtemplates.com/dotcreative/)
18:39:22	34315/34315	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Jan%202021%2013:53:06%20GMT	https://html.modernwebtemplates.com/dotcreative/blog-masonry.html	C:/Users/Yoga/Desktop/Sample%20site%20Gonext/html.modernwebtemplates.com/dotcreative/blog-masonry.html	(from https://html.modernwebtemplates.com/dotcreative/)
18:39:22	44661/44661	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Jan%202021%2013:53:06%20GMT	https://html.modernwebtemplates.com/dotcreative/post1.html	C:/Users/Yoga/Desktop/Sample%20site%20Gonext/html.modernwebtemplates.com/dotcreative/post1.html	(from https://html.modernwebtemplates.com/dotcreative/)
18:39:23	41734/41734	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Jan%202021%2013:53:06%20GMT	https://html.modernwebtemplates.com/dotcreative/post2.html	C:/Users/Yoga/Desktop/Sample%20site%20Gonext/html.modernwebtemplates.com/dotcreative/post2.html	(from https://html.modernwebtemplates.com/dotcreative/)
18:39:23	44008/44008	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Jan%202021%2013:53:06%20GMT	https://html.modernwebtemplates.com/dotcreative/post3.html	C:/Users/Yoga/Desktop/Sample%20site%20Gonext/html.modernwebtemplates.com/dotcreative/post3.html	(from https://html.modernwebtemplates.com/dotcreative/)
18:39:24	34974/34974	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Jan%202021%2013:53:06%20GMT	https://html.modernwebtemplates.com/dotcreative/post4.html	C:/Users/Yoga/Desktop/Sample%20site%20Gonext/html.modernwebtemplates.com/dotcreative/post4.html	(from https://html.modernwebtemplates.com/dotcreative/)
